,kind,answer,passage,question
121,1,「メディア」は一般的には表現形式としてのメディアと、物理メディアを一体として捉えて、小数の発信者が多数の受信者に対して情報発信を行う新聞や出版物、テレビやラジオなどのマスメディアを指すことが多い。,一般的に「メディア」というと、表現形式としてのメディアと、物理メディアを一体として捉えて、小数の発信者が多数の受信者に対して情報発信を行う新聞や出版物、テレビやラジオなどのマスメディアを指すことが多い。,一般的に「メディア」とは何を指すか、説明せよ。
196,1,完全セルフレジは複数のレジを1人のスタッフで対応できるメリットがあるが、利用者にとっては慣れないと操作が難しく、購入を諦めてしまうデメリットがある,"完全セルフレジの場合には複数のレジを一人のスタッフで対応できるメリットがある反面,利用者にとっては慣れないと難しく購入をあきらめてしまう可能性もある.",完全セルフレジのメリットとデメリットは何ですか
92,1,静的モデルは、プラスチックや建築図面などのように時間的要素を含まないもののモデルである。,モデルは、表現形式や対象の宅趙によって分類することができる。静的モデルは、プラスチックや建築図面などのように時間的要素を含まないもので、動的モデルはレジの待ち行列や、気象予測、生物の成長など、時間的要素を含んだ事象のモデルである。また、確率モデルは不規則な現象を含まず、方程式などで表せるモデルであり、確率モデルはサイコロやくじ引きのような不規則な現象を含んだモデルである。,静的モデルとはどのようなモデルですか?
55,0,ドローン,"ドローンにおけるアクチュエータの役割は直流によって回転運動し,制御性に優れる。プロペラの回転数を変えることで姿勢を制御する。",以下の使われ方をしているアクチュエータは何でしょう。プロペラの回転数を変えることで姿勢を制御する。
100,1,変数名やその意味をまとめた表,プログラム中に用いる変数と諸条件の対応をわかりやすくするためにも変数表を作成しておくとよい,変数表とは何ですか?
192,2,正しい,スマートフォンなど個人が所有する情報機器の普及はコミュニケーションの利便性の向上につながっている反面、年齢や所得など、個人の技術や社会環境の差により格差(デジタルデバイド)を生じ、新しい情報を手に入れる機会や量が異なることがある。,次の文章は正しいか答えなさい。スマートフォンなど個人が所有する情報機器の普及はコミュニケーションの利便性の向上につながっている反面、年齢や所得など、個人の技術や社会環境の差によりデジタルデバイドを生じ、新しい情報を手に入れる機会や量が異なることがある。
138,2,正しくない,オットー・ノイラートのアイソタイプは、図記号を用いた情報デザインのはしりである。その後、オリンピックなどの国際的なイベントや駅などの公共施設の案内に、ピクトグラムを中心としたサインシステムが用いられるようになり、インフォグラフィックスによる情報の表現も多くみられるようになっている。,次の文章は正しいか答えなさい。オリンピックなどの国際的なイベントや駅などの公共施設の案内に、ピクトグラムを中心としたサインシステムが用いられていたが、インフォグラフィックスによる情報の表現は見られなくなってきている。
105,2,正しくない,"コンピュータは,直接アナログデータを扱うことができず,デジタルデータをデータとして扱っている。コンピュータの内部におけるデータは,複数の素子の電圧などの段階の組み合わせとして表されることが多い。現在は,これを二段階で表現する場合が多く,0と1で表される2進法を対応させて扱っている。","コンピュータは,直接アナログデータを扱うことは可能か"
200,2,正しくない,クレジットカードでは使用者は利用後に支払いを行う。,次の文章は正しいか答えよ。クレジットカードでは使用者は利用前に支払いを行う。
132,0,人間中心設計,"サインシステム,インフォグラフィックス,ユーザインタフェースなどのデザインにおいて,情報デザインとして優れているものは,利用者の立場に立ったデザインがなされている。これは「人間中心設計」という考え方で,その設計プロセスはiso(国際標準化機構)で規定されている。人間中心設計のプロセスは,利用者のニーズを把握し,そのニーズに基づいたデザインを行い,利用者の評価を受けて改善を行う。人間中心設計では,利用者のニーズを完全に満たすまで評価と改善を繰り返すことになる。",情報デザインとして優れているものに適応されている考え方は何か?
118,2,正しくない,対人コミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことを指し、集団コミュニケーションは限定された小集団レベルのコミュニケーションのことを指す。また、マスコミュニケーションは不特定多数に対して行われるコミュニケーションのことをいう。,次の文章は正しいか答えなさい。マスコミュニケーションは特定相手を限定した個人対個人のコミュニケーションのことである。
197,1,多くのデータを読み込ませることで機械が自動的に学んでいくことが可能という特徴を持つ,"人間の神経細胞を模した多層ニューラルネットワークというモデルを用いてコンピュータに学習させる手法を,ディープラーニング(深層学習)と呼ぶ.従来の機械学習とは異なり,aiに多くのデータを読み込ませることで機械が自動的に学んでいくことが可能であるという点に特徴がある.",近年注目されている深層学習はどのような特徴がありますか
40,0,cpu,"コンピュータは,制御装置,演算装置,記憶装置,入力装置,出力装置の5つで構成される。制御装置と演算装置を合わせてcpu(central processing unit)という。",コンピュータの制御装置と演算装置を総称して何といいますか?
143,1,"6人程度のグループを組んで,6×3のマス目があるシートにそれぞれの意見やアイデアを書き込んでいく発想法","ブレーンストーミングやkj法以外に,授業に取り入れやすい発想法としては,ブレーンライティング(635法)がある。ブレーンライティングは,6人程度のグループを組んで,6×3のマス目があるシートにそれぞれの意見やアイデアを書き込んでいく発想法である。",635法はどのような発想法か答えなさい。
159,2,正しくない,"情報の代表的な特性として,以下の4つがあげられる。1形がない2消えない3簡単に複製できる4容易に伝播する。これらの特性は「もの」と比較して考えると分かりやすい。",次の文章は正しいか答えなさい.情報の代表的な特徴は「形がない」、「消える」、「簡単に複製できない」、「容易に伝播する」の4つである.
5,2,正しい,有線lamと無線lanの違いとはどこにあるのだろうか。外見上は、有線がethernetに従った規格の通信であり、無線はlanケーブルなしでethernetの通信技術を実現したものである。物理的な違いであり、実際には通信上のネットワークインターフェースがethernetの電気信号であることと電波を利用することの違いである。,次の文章は正しいか答えなさい。有線がethernetに従った規格の通信であり、無線はlanケーブルなしでethernetの通信技術を実現したものである。
13,0,pdf形式やword形式,"オープンデータとして利用しやすいファイル形式がある.統計情報,施設一覧など表形式となっている情報にはexcel形式やcsv形式を用いる.報告書などの文章による情報や図形,画像などが混在する情報にはpdf形式やword形式を用いる.地図と組み合わせて利用する情報で,線や面などのデータを含むものにはshp形式を用いる.",文章や画像などが混在する情報に適したファイル形式は何?
112,0,ビットマップデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。","コンピュータで画像を扱う際,画像を色情報を持った点を使って表現したデータ形式を,ラスターデータ以外に何と呼ぶか"
47,2,正しくない,メモリが少ない場合は、あふれたデータをハードディスクに保存するため、ハードディスクとのデータのやり取りにほとんどの時間がとられ、いくらcpuが高速でも実行速度は上がらない。必要十分なメモリがあって、ハードディスクのかわりにデータの読み書きの速度が速いssd(solid state drive)などを使うと、コンピュータの実質的な動作速度を上げることができる。,次の文章は正しいか答えなさい。ssdのかわりにハードディスクを使うとコンピュータの実質的な動作速度を上げることができる。
103,0,弧度法,コンピュータにおける算術演算において、三角関数の引数となる角度は弧度法(ラジアン)である。ラジアンとは、円(扇型)の半径の長さと等しい弧の長さとなる中心角を1とする単位で、0度＝0ラジアン、90度＝π/2ラジアン、180度はπラジアン、360度＝2πラジアンとなる。角度からラジアンへの変換は角度にπ/180を掛ければよい。,コンピュータにおける算術演算において、三角関数の引数となる角度は何か
165,1,サイバー犯罪は匿名性が高い、痕跡が残りにくい、不特定多数が被害を受ける、時間と空間の制約がないという特徴がある,ネットワークを利用したサイバー犯罪には次のような特徴がある.1匿名性が高い2痕跡が残りにくい3不特定多数が被害を受ける4時間と空間の制約がない,サイバー犯罪の特徴は何ですか
122,0,インタラクティブなメディア,利用者の働きかけによって、提示される内容が変化するメディアをインタラクティブなメディアという。,利用者の働きかけによって、提示される内容が変化するメディアを何と呼ぶか答えなさい。
53,1,入力ポートに接続されたセンサの値を取得するには、ポートから入力した生のデータをセンサの特性に合わせてプログラム上で計算式によって温度などの物理量に変換する必要がある。,一般的に、入力ポートに接続されたセンサの値を取得するには、ポートから入力した生(なま)のデータをセンサの特性に合わせてプログラム上で計算式によって温度などの物理量に変換する必要がある。同様に、出力ポートに接続されたアクチュエータを制御する場合も、計算式によってモーターの回転数などの物理量をポートに出力するデータに変換する必要がある。,入力ポートに接続されたセンサの値を取得するにはどのようなことをする必要があるでしょう?
154,1,データは事象や現象を数字や文字で記号化したもので、情報は意味や価値が付加されたデータのことである,"事象や現象を数字や文字などで記号化したものがデータであり,意味や価値が付加されたデータやメッセージを情報という.",データと情報の違いは何ですか
4,2,正しくない,tcp/ipの4階層モデルについて説明する。インターネットの通信において、通信する際の規定を定めたものを通信プロトコルという。このプロトコルがあることで、相互に通信を行うことが可能になっている。,次の文章は正しいか答えなさい。インターネットの通信において、通信する際の規定を定めたものをインターネットプロトコルという。
113,0,ベクターデータ,"コンピュータで扱う画像データには様々な種類がある。画像データは大別して,ラスタデータとベクタデータに大きく分けられる。ラスタデータは,画像を色情報を持った点を使って表現したデータで,ビットマップデータとも呼ばれる。ラスタデータは,写真や自然画などを扱うのに適している。しかしラスタデータは,点の集合で表現されているため,画像の拡大・縮小・変形などには適さない。ベクタデータは,画像を点とそれを結ぶ線や面で計算処理して表現したデータで,イラストや図面などを作成するのに適している。ベクタデータは,表示するたびに,計算を行って画像を表現するため,画像を拡大・縮小・変形したりしても,画質が維持されるという特徴がある。","コンピュータで画像を扱う際,画像を点とそれを結ぶ線や面で計算処理して表現したデータを何というか"
28,0,50%,"位置統計量のうち,四分位数というものがある.四分位数はデータを大きさの順に並べたときに,データの個数(相対度数)を4等分する境界値で,データが小さい方から順に第1四分位数(q1),第2四分位数(q2)(中央値と同値),第3四分位数(q3)という。累積相対度数は中学校で学習するが,四分位数はそれぞれ,下側累積25%点,下側累積50%点,下側累積75%点に相当する。四分位数を図示する方法として,箱ひげ図が用いられる。","四分位数のうち,第2四分位数に相当するのは下側累積の何%?"
117,2,正しくない,画面内に画像や文章を配置する際に重要なことは絵心ではなく、目の特性(ゲシュタルトの法則)を理解することである。,次の文章は正しいか答えなさい。画面内に画像や文章を配置する際に重要なことは絵心である。
152,0,バリューシナリオ、アクティビティシナリオ、インタラクションシナリオ,シナリオ手法は、デザインしたものが利用される場面を具体的に想定して、要件を定義する手法である。シナリオ手法の一種として、「構造化シナリオ手法」がよく用いられる。これは、デザインされたものについて、利用者にどのような価値をもたらすのか記述した「バリューシナリオ」、利用者の活動の様子について記述した「アクティビティシナリオ」、利用者の具体的な行動や操作について記述した「インタラクションシナリオ」の3つのシナリオから構成される,構造化シナリオ手法を構成する3つのシナリオとは何か答えなさい。
106,0,標本化,"アナログ情報をデジタル化するときには,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化,量子化した数値を2進法で表現する符号化の手順が行われる。","アナログ情報をデジタル情報に変換する際,連続的に変化する量を一定の時間間隔で区切る処理を何というか"
62,1,分岐とは、ある条件に応じて異なる処理を実行することである。,どのようなアルゴリズムでも、処理の流れは、順次、分岐、反復の3つの構造の組み合わせで構成されている。このような処理の流れを制御構造という。順次とは1つ1つの処理を順番に行うことであり、分岐はある条件に応じて異なる処理を実行することである。また、反復はある条件が満たされている間はその処理を繰り返し実行することである。,分岐とは何か
52,1,サーボモータはロボットの腕の関節のように、角度を指定して回転させる目的で使用する。,アクチュエータの動きは直進運動と回転運動に分けることができ、これらの動力源として、電気・油圧・空気圧がある。dcモータは車輪のように連続して回転させ、サーボモータはロボットの腕の関節のように、角度を指定して回転させる目的で使用する。,サーボモータを使用する目的は何か
11,1,外部からの不正な侵入を考慮して、ssidを公開しないことや暗号化キーを分かりづらいものにしておくこと、暗号化方式を容易に解読されないものにしておくことが必要である。,家庭内などの接続する人が特定できている場所での接続に関しても、外部からの不正な侵入も考慮し、ssidを公開しないことや暗号化キーを分かりづらいものにしておくこと、暗号化方式を容易に解読されないものにしておくことが必要である。そのため、ssid、暗号化キー、暗号化方式などの情報が無線lanに参加するのに必要になる。,家庭内などの接続する人が特定できている場所での接続について、外部からの不正な侵入の対策としてどのようなことをしておく必要がありますか。
6,2,正しい,有線lanでは物理的なケーブルを用いてデータを転送するのに対して、無線lanでは、空気中を電波でデータを伝送するために、傍受することが容易であることがデメリットである。共通鍵暗号ならば、暗号化、復号の両方で同じキーを使うので、この方式を使う無線lanは、キーがわかってしまえば、安全な通信はできないことになる。,次の文章は正しいか答えなさい。共通鍵暗号は暗号化・復号の両方で同じキーを使うので、この方式を使う無線lanはキーがわかってしまえば安全な通信はできないことになる。
188,1,目が疲れたり肩こりが生じたりする身体的な症状と、情報機器に過度に依存してしまう不安症などが挙げられる,"情報機器の普及は,これらを利用して仕事している人に対して,目が疲れたり肩こりが生じたりという身体的な症状や,また,過度に情報機器に依存してしまう不安症などという健康被害(テクノストレス)を生じさせることもある.",情報機器の普及による健康被害にはどのようなものがありますか
107,0,量子化,"アナログ情報をデジタル化するときには,連続的に変化する量を一定の時間間隔で区切る標本化,それぞれの値にあらかじめ定めた段階値を割り当てる量子化,量子化した数値を2進法で表現する符号化の手順が行われる。","アナログ情報をデジタル情報に変換する際,それぞれの値にあらかじめ定めた段階値を割り当てる処理を何というか"
59,0,煙感知器,リモコンの赤外線センサは、赤外線による信号を検知する役割を果たしている。また、エアコンの温度センサ・湿度センサは、室内の気温・湿度を検知する役割を果たしている。煙感知器の煙センサは煙を検知する役割を果たしている。,煙センサが使用されているものを1つ挙げなさい。
42,1,コンピュータに計算させるときには、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータで変数は指定されたビット数の箱に入っていると考える。この箱(定められたビット数)に収まるものであれば誤差は生じないが、収まらないものは誤差が生じる。例えば、15ビットの箱を準備したとき、13ビットの魚aは箱に収まるが、20ビットの魚bは箱に入らない。このとき失われた5ビットが計算誤差の原因となる。コンピュータに計算させる時には、必要な精度に見合った箱を用意するとともに、計算の途中でこの箱からはみ出さないように注意する必要がある。,コンピュータに計算させる時にはどのようなことに注意する必要がありますか
82,0,二分探索,二分探索はリストの中から探索範囲を半分ずつ狭めながら目的のデータを探し出す探索方法である。,リストの中から探索範囲を半分ずつ狭めながら目的のデータを探し出す探索方法は何でしょう。
201,2,正しい,収集した膨大なデータを利用して、データ相互の関係や有用な知見を見出すことなどをデータマイニングと呼ぶ。,次の文章は正しいか答えなさい。データマイニングとは収集した膨大なデータを利用して、データ相互の関係や有用な知見を見出すことである。
16,0,sns,通信分野では利用者同士の交流や情報発信などの目的に、ソーシャルネットワーキングサービス(sns)と呼ばれる情報システムを用いている。,通信分野で用いられる情報システムはアルファベット3文字で何という
183,2,正しくない,知的財産権は、申請が必要な産業に関する産業財産権と、申請の必要がない文化や芸術に関する著作権に大きく分けられる。,次の文章は正しいか答えなさい。知的財産権は、申請の必要がない産業に関する産業財産権と、申請が必要な文化や芸術に関する著作権に大きく分けられる。
85,0,クイックソート,クイックソートはリスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムである。,リスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムは何か。
161,0,情報の機密性・完全性・可用性,"情報システムを安心して利用するには,情報セキュリティ対策が必要である。情報セキュリティとは,情報の機密性・完全性・可用性(情報セキュリティの3要素)を確保することである。",情報セキュリティの3要素を答えてください。
134,2,正しい,"現在のスマートフォンは,電話,メール,カメラ,web閲覧,音楽プレーヤー,ゲーム機‥‥と様々な機能を兼ね備えているため,利用者が操作に迷わないようなユーザインタフェースを備える必要がある。椅子やベッドのように物の存在自体が,人間の物に対する働きかけ方を想起させる場合がある。例えば,ユーザインタフェースは,「機器の操作」を利用者に想起させる。この「情報デザインの考え方」には,「情報の視覚的な表現」という「情報の見せ方」だけでなく,階層化されたメニューのように「情報を表示する順序」といった「情報の出し方」のデザインも含まれている。",次の文章は正しいか答えよ。「情報デザインの考え方」には「情報の出し方」のデザインも含まれる。
110,2,正しくない,"コンピュータでは,文字の一つ一つに文字コードと呼ばれる固有の番号を割り当てることで,文字を2進法のデータとして取り扱っている。英語などで使用されるアルファベットや数字などの文字は種類が少ないので7bitで表現することができるが,日本語などで使用される漢字などの文字は種類が多いので16bitで表現する。","次の文章は正しいか答えなさい。テキストをコンピュータで処理する際,1文字あたり7bitあれば十分である。"
86,1,クイックソートはリスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムである。,クイックソートはリスト内の一つのデータを軸として、大小2つに分割した後、分割したデータに対して同じ処理を再度行うことにより並べ替えを実現するアルゴリズムである。,クイックソートはどのようなアルゴリズムか説明しなさい
174,0,商標権,"特許権,実用新案権,意匠権,商標権を総称して産業財産権といい,新しい技術やデザインなどに対して独占的に使用できる権利が与えられ,模倣されないように保護される。","産業財産権は特許権,実用新案権,意匠権と何の総称?"
0,0,ethernetの電気信号,"外見上は,有線がethernet(イーサネット)(ieee802.3(アイトリプルイーハチマルニテンサン))に従った規格の通信であり,無線はlanケーブルなしでethernetの通信技術を実現したものである。物理的な違いであり,実際には通信上のネットワークインタフェースがethernetの電気信号であることと電波を利用することの違いである。",有線は無線と異なるネットワークインターフェースを用いている.それは何?
78,2,正しくない,ある一定の範囲内において、すべての数が同じ確率で現れるような数のことを乱数という。コンピュータはその性質上計算で値を生成するので計算による疑似的な乱数しか生成できない。これを疑似乱数(以後「乱数」と表現する)という。,以下の文章は正しいですか?ある一定の範囲内においてすべての数が異なる確率で現れるような数のことを乱数という。
195,1,店舗が用意したqrコードを読み込む、もしくはスマートフォンでqrコードを表示して店員が読み取るqrコード決済が利用されている,"中国や韓国ではキャッシュレス化が進んでおり,そこではqrコード決済も利用されている.決済方法は,(1)店舗が用意したqrコードを客が読み取る方法(2)客のスマートフォンでqrコードを表示し,店員がそのqrコードを読み取る方法の2種類がある.",キャッシュレス化が進む中国や韓国ではどのような決済方法が利用されていますか
76,0,戻り値,数学では関数はy＝f(x)のように表現されるが、コンピュータプログラムの関数ではxを引数(引数)、yを戻り値と呼んでいる。,数学での関数はy＝f(x)のように表現されるが、コンピュータプログラムではyを何というでしょう
18,0,緊急地震速報,気象分野では早期避難や工場の機械制御などを目的とし、緊急地震速報と呼ばれる情報システムを用いている。,気象分野で用いられる地震が来ることを伝える情報システムはなにか
171,1,情報機器が普及したことで映像や音楽、イラストや写真など多くの著作物を手軽に利用かつ複製できるようになったため、著作権についてよく理解した上で活用するようにしなければならない,"情報機器等が普及し,デジタル化が進んだことにより,映像,音楽,イラストや写真,文章など多くの著作物を手軽に利用でき,また複製できるようになった.手軽に利用できるようになったからこそ,知らぬ間に著作権を侵害してしまうことのないように,著作権についてよく理解した上で,著作物を守り活用していく姿勢が求められる.",情報機器が普及したことで著作権に対してどのようなことに気を付ければ良いですか
93,1,動的モデルはレジの待ち行列や、気象予測、生物の成長など、時間的要素を含んだ事象のモデルである。,モデルは、表現形式や対象の宅趙によって分類することができる。静的モデルは、プラスチックや建築図面などのように時間的要素を含まないもので、動的モデルはレジの待ち行列や、気象予測、生物の成長など、時間的要素を含んだ事象のモデルである。また、確率モデルは不規則な現象を含まず、方程式などで表せるモデルであり、確率モデルはサイコロやくじ引きのような不規則な現象を含んだモデルである。,動的モデルとはどのようなモデルですか?
